id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401643703101849909,401643703,4016437031,2,1,15:00,Utah State,Robert Morris,0,0,75,1,10,-1,Rush,Robert Briggs Jr. run for a loss of 1 yard to the USU 24,-0.8014893508157099,2024-09-01T00:01:13.000Z
401643703101857801,401643703,4016437031,4,1,14:21,Utah State,Robert Morris,0,0,65,1,10,6,Rush,Robert Briggs Jr. run for 6 yds to the USU 41,0.3983464844048346,2024-09-01T00:01:13.000Z
401643703101866901,401643703,4016437031,6,1,13:30,Utah State,Robert Morris,0,0,43,1,10,9,Pass Reception,Spencer Petras pass complete to Robert Briggs Jr. for 9 yds to the RMU 34,0.9071042242020542,2024-09-01T00:01:13.000Z
401643703101874501,401643703,4016437031,7,1,12:54,Utah State,Robert Morris,0,0,34,2,1,8,Rush,Robert Briggs Jr. run for 8 yds to the RMU 26 for a 1ST down,-0.2747362586793805,2024-09-01T00:01:13.000Z
401643703101878901,401643703,4016437031,9,1,12:10,Utah State,Robert Morris,0,0,36,1,20,2,Rush,Robert Briggs Jr. run for 2 yds to the RMU 34,-0.5057414577171554,2024-09-01T00:01:13.000Z
401643703101884801,401643703,4016437031,10,1,11:51,Utah State,Robert Morris,0,0,34,2,18,13,Pass Reception,Spencer Petras pass complete to Otto Tia for 13 yds to the RMU 21,1.277607922197973,2024-09-01T00:01:13.000Z
401643703101887701,401643703,4016437031,11,1,11:22,Utah State,Robert Morris,0,0,21,3,5,31,Pass Interception Return,Spencer Petras pass intercepted Tyris Harvey return for 31 yds to the RMU 41,-3.856790845366513,2024-09-01T00:01:13.000Z
401643703101877102,401643703,4016437031,8,1,12:28,Utah State,Robert Morris,0,0,26,1,10,-10,Penalty,"(12:28) PETRAS, Spencer pass to the left complete for 5 yards to ROYALS, Jalen caught at the RMU20 and advanced to the RMU21 (HARVEY, Tyris), clock 12:21. PENALTY USU Holding on MOTES, Cole enforced 10 yards from the RMU26 to the RMU36 [NHSG]. NO PLAY (replay the down).",,2024-09-01T00:01:13.000Z
401643703101849906,401643703,4016437031,1,1,15:00,Robert Morris,Utah State,0,0,65,0,0,0,Kickoff,Jayson Jenkins kickoff for 65 yds for a touchback,,2024-09-01T00:01:13.000Z
401643703101856001,401643703,4016437031,3,1,14:39,Utah State,Robert Morris,0,0,76,2,11,11,Pass Reception,Spencer Petras pass complete to Robert Briggs Jr. for 11 yds to the USU 35 for a 1ST down,1.6365274598456967,2024-09-01T00:01:13.000Z
